"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"95","Camp","20",9166,9055,7680,8931,9166,8596,8138,9166,111,1486,235,0,570,1028,0,0,0,0,0,0,0,0,0
"96","Camp","5_19",2870,2308,1957,2276,2336,2191,2074,2336,562,913,594,534,679,796,534,0,0,0,0,0,0,0,0
"97","Carson","0_4",295,281,236,287,295,266,251,295,14,59,8,0,29,44,0,0,0,0,0,0,0,0,0
"98","Carson","20",4371,4159,3503,4259,4371,3941,3722,4371,212,868,112,0,430,649,0,0,0,0,0,0,0,0,0
"99","Carson","5_19",1212,940,792,962,974,891,842,979,272,420,250,238,321,370,233,0,0,0,0,0,0,0,0
"100","Cass","0_4",1671,1624,1374,1628,1671,1541,1457,1671,47,297,43,0,130,214,0,0,1,1,1,1,1,1,1
"101","Cass","20",21511,20909,17683,20959,21511,19834,18758,21511,602,3828,552,0,1677,2753,0,0,0,0,0,0,0,0,0
"102","Cass","5_19",5477,4378,3703,4390,4501,4153,3928,4501,1099,1774,1087,976,1324,1549,976,0,0,0,0,0,0,0,0
"103","Castro","0_4",567,561,476,552,567,533,504,567,6,91,15,0,34,63,0,0,0,0,0,0,0,0,0
"104","Castro","20",4894,4841,4107,4768,4894,4597,4352,4894,53,787,126,0,297,542,0,0,0,0,0,0,0,0,0
"105","Castro","5_19",1766,1414,1200,1394,1430,1343,1271,1430,352,566,372,336,423,495,336,0,0,0,0,0,0,0,0
"106","Chambers","0_4",3579,3471,2934,3487,3579,3292,3113,3579,108,645,92,0,287,466,0,0,2,1,2,2,2,2,2
"107","Chambers","20",37561,36428,30793,36598,37561,34550,32671,37561,1133,6768,963,0,3011,4890,0,0,0,0,0,0,0,0,0
"108","Chambers","5_19",12736,10172,8600,10220,10450,9648,9124,10472,2564,4136,2516,2286,3088,3612,2264,0,0,0,0,0,0,0,0
"109","Cherokee","0_4",3500,3466,2941,3410,3500,3291,3116,3500,34,559,90,0,209,384,0,0,2,2,2,2,2,2,2
"110","Cherokee","20",37815,37445,31773,36845,37815,35554,33664,37815,370,6042,970,0,2261,4151,0,0,0,0,0,0,0,0,0
"111","Cherokee","5_19",10902,8848,7508,8708,8935,8401,7954,8935,2054,3394,2194,1967,2501,2948,1967,0,0,0,0,0,0,0,0
"112","Childress","0_4",314,303,256,306,314,287,272,314,11,58,8,0,27,42,0,0,0,0,0,0,0,0,0
"113","Childress","20",5329,5145,4345,5192,5329,4878,4612,5329,184,984,137,0,451,717,0,0,0,0,0,0,0,0,0
"114","Childress","5_19",1145,868,734,874,892,823,778,880,277,411,271,253,322,367,265,0,0,0,0,0,0,0,0
"115","Clay","0_4",541,528,447,527,541,501,474,541,13,94,14,0,40,67,0,0,0,0,0,0,0,0,0
"116","Clay","20",8322,8118,6870,8109,8322,7702,7286,8322,204,1452,213,0,620,1036,0,0,0,0,0,0,0,0,0
"117","Clay","5_19",1875,1491,1262,1488,1515,1414,1338,1518,384,613,387,360,461,537,357,0,0,0,0,0,0,0,0
"118","Cochran","0_4",212,204,173,207,212,194,183,212,8,39,5,0,18,29,0,0,0,0,0,0,0,0,0
"119","Cochran","20",1763,1700,1436,1718,1763,1612,1524,1763,63,327,45,0,151,239,0,0,0,0,0,0,0,0,0
"120","Cochran","5_19",534,418,353,422,429,396,375,428,116,181,112,105,138,159,106,0,0,0,0,0,0,0,0
"121","Coke","0_4",177,167,141,172,173,158,150,176,10,36,5,4,19,27,1,0,0,0,0,0,0,0,0
"122","Coke","20",2579,2438,2051,2513,2513,2309,2180,2567,141,528,66,66,270,399,12,0,0,0,0,0,0,0,0
"123","Coke","5_19",596,485,408,501,506,460,434,505,111,188,95,90,136,162,91,0,0,0,0,0,0,0,0
"124","Coleman","0_4",427,413,349,416,427,392,371,427,14,78,11,0,35,56,0,0,0,0,0,0,0,0,0
"125","Coleman","20",6038,5847,4941,5883,6038,5545,5243,6038,191,1097,155,0,493,795,0,0,0,0,0,0,0,0,0
"126","Coleman","5_19",1377,1090,922,1096,1113,1034,978,1113,287,455,281,264,343,399,264,0,0,0,0,0,0,0,0
"127","Collin","0_4",68206,65244,55013,66457,68206,61833,58423,68206,2962,13193,1749,0,6373,9783,0,0,35,29,35,35,33,31,36
"128","Collin","20",870997,833167,702517,848657,870997,789617,746067,870997,37830,168480,22340,0,81380,124930,0,0,0,0,0,0,0,0,0
"129","Collin","5_19",256156,196222,165471,199910,203021,185972,175721,204554,59934,90685,56246,53135,70184,80435,51602,0,0,0,0,0,0,0,0
"130","Collingsworth","0_4",167,160,135,163,167,152,143,167,7,32,4,0,15,24,0,0,0,0,0,0,0,0,0
"131","Collingsworth","20",1835,1757,1481,1788,1835,1665,1573,1835,78,354,47,0,170,262,0,0,0,0,0,0,0,0,0
"132","Collingsworth","5_19",561,439,371,446,453,416,393,452,122,190,115,108,145,168,109,0,0,0,0,0,0,0,0
"133","Colorado","0_4",1380,1361,1154,1345,1380,1292,1223,1380,19,226,35,0,88,157,0,0,1,1,1,1,1,1,1
"134","Colorado","20",15666,15447,13098,15264,15666,14664,13881,15666,219,2568,402,0,1002,1785,0,0,0,0,0,0,0,0,0
"135","Colorado","5_19",4071,3344,2836,3305,3390,3175,3005,3390,727,1235,766,681,896,1066,681,0,0,0,0,0,0,0,0
"136","Comal","0_4",10135,9706,8186,9875,10135,9199,8693,10135,429,1949,260,0,936,1442,0,0,5,4,5,5,5,5,5
"137","Comal","20",146926,140710,118671,143157,146926,133364,126017,146926,6216,28255,3769,0,13562,20909,0,0,0,0,0,0,0,0,0
"138","Comal","5_19",36867,28884,24363,29382,29842,27377,25870,29975,7983,12504,7485,7025,9490,10997,6892,0,0,0,0,0,0,0,0
"139","Comanche","0_4",850,835,707,828,850,792,750,850,15,143,22,0,58,100,0,0,0,0,0,1,0,0,1
"140","Comanche","20",10568,10380,8795,10297,10568,9851,9323,10568,188,1773,271,0,717,1245,0,0,0,0,0,0,0,0,0
"141","Comanche","5_19",2632,2078,1761,2064,2116,1973,1867,2116,554,871,568,516,659,765,516,0,0,0,0,0,0,0,0
"142","Concho","0_4",118,117,99,115,118,111,105,118,1,19,3,0,7,13,0,0,0,0,0,0,0,0,0
"143","Concho","20",2812,2791,2369,2740,2812,2650,2510,2812,21,443,72,0,162,302,0,0,0,0,0,0,0,0,0
"144","Concho","5_19",367,251,214,247,253,239,226,253,116,153,120,114,128,141,114,0,0,0,0,0,0,0,0
"145","Cooke","0_4",2679,2595,2193,2610,2679,2461,2327,2679,84,486,69,0,218,352,0,0,1,1,1,1,1,1,2
"146","Cooke","20",32482,31459,26587,31649,32482,29835,28211,32482,1023,5895,833,0,2647,4271,0,0,0,0,0,0,0,0,0
"147","Cooke","5_19",8621,6746,5701,6787,6911,6397,6049,6942,1875,2920,1834,1710,2224,2572,1679,0,0,0,0,0,0,0,0
"148","Coryell","0_4",5354,5201,4398,5217,5354,4933,4666,5354,153,956,137,0,421,688,0,0,3,2,3,3,2,2,3
"149","Coryell","20",63817,61994,52421,62180,63817,58803,55612,63817,1823,11396,1637,0,5014,8205,0,0,0,0,0,0,0,0,0
"150","Coryell","5_19",15707,12453,10530,12486,12824,11812,11171,12824,3254,5177,3221,2883,3895,4536,2883,0,0,0,0,0,0,0,0
"151","Cottle","0_4",52,51,43,51,52,48,46,52,1,9,1,0,4,6,0,0,0,0,0,0,0,0,0
"152","Cottle","20",1016,995,843,990,1016,945,894,1016,21,173,26,0,71,122,0,0,0,0,0,0,0,0,0
"153","Cottle","5_19",226,164,139,163,166,156,147,165,62,87,63,60,70,79,61,0,0,0,0,0,0,0,0
"154","Crockett","0_4",200,199,169,195,200,189,179,200,1,31,5,0,11,21,0,0,0,0,0,0,0,0,0
"155","Crockett","20",2048,2036,1729,1995,2048,1934,1831,2048,12,319,53,0,114,217,0,0,0,0,0,0,0,0,0
"156","Crockett","5_19",610,494,419,485,497,469,444,497,116,191,125,113,141,166,113,0,0,0,0,0,0,0,0
"157","Crosby","0_4",300,295,250,292,300,280,265,300,5,50,8,0,20,35,0,0,0,0,0,0,0,0,0
"158","Crosby","20",3502,3446,2921,3412,3502,3271,3096,3502,56,581,90,0,231,406,0,0,0,0,0,0,0,0,0
"159","Crosby","5_19",1115,862,731,854,875,818,774,875,253,384,261,240,297,341,240,0,0,0,0,0,0,0,0
"160","Culberson","0_4",144,143,121,140,144,135,128,144,1,23,4,0,9,16,0,0,0,0,0,0,0,0,0
"161","Culberson","20",1628,1613,1368,1586,1628,1531,1450,1628,15,260,42,0,97,178,0,0,0,0,0,0,0,0,0
"162","Culberson","5_19",424,312,265,306,315,296,280,315,112,159,118,109,128,144,109,0,0,0,0,0,0,0,0
"163","Dallam","0_4",819,797,674,798,819,756,715,819,22,145,21,0,63,104,0,0,0,0,0,0,0,0,0
"164","Dallam","20",4550,4426,3744,4433,4550,4199,3971,4550,124,806,117,0,351,579,0,0,0,0,0,0,0,0,0
"165","Dallam","5_19",1868,1512,1279,1514,1552,1435,1357,1555,356,589,354,316,433,511,313,0,0,0,0,0,0,0,0
"166","Dallas","0_4",175055,171602,145344,170565,175055,162849,154097,175055,3453,29711,4490,0,12206,20958,0,0,92,77,92,97,87,82,97
"167","Dallas","20",1892367,1855040,1571185,1843829,1892367,1760422,1665803,1892367,37327,321182,48538,0,131945,226564,0,0,0,0,0,0,0,0,0
"168","Dallas","5_19",538936,424676,359710,422154,432843,403021,381365,432843,114260,179226,116782,106093,135915,157571,106093,0,0,0,0,0,0,0,0
"169","Dawson","0_4",876,835,704,854,876,791,748,876,41,172,22,0,85,128,0,0,0,0,0,0,0,0,0
"170","Dawson","20",8719,8313,7005,8495,8719,7877,7441,8719,406,1714,224,0,842,1278,0,0,0,0,0,0,0,0,0
"171","Dawson","5_19",2409,1865,1572,1903,1926,1767,1669,1924,544,837,506,483,642,740,485,0,0,0,0,0,0,0,0
"172","DeWitt","0_4",1117,1101,934,1088,1117,1045,989,1117,16,183,29,0,72,128,0,0,1,0,1,1,1,0,1
"173","DeWitt","20",14933,14720,12480,14550,14933,13973,13227,14933,213,2453,383,0,960,1706,0,0,0,0,0,0,0,0,0
"174","DeWitt","5_19",3879,3146,2667,3111,3191,2986,2827,3191,733,1212,768,688,893,1052,688,0,0,0,0,0,0,0,0
"175","Deaf Smith","0_4",1635,1630,1385,1593,1635,1548,1466,1635,5,250,42,0,87,169,0,0,1,1,1,1,1,1,1
"176","Deaf Smith","20",12047,12009,10202,11738,12047,11407,10804,12047,38,1845,309,0,640,1243,0,0,0,0,0,0,0,0,0
"177","Deaf Smith","5_19",4665,3766,3199,3682,3778,3577,3388,3778,899,1466,983,887,1088,1277,887,0,0,0,0,0,0,0,0
"178","Delta","0_4",365,358,303,356,365,340,322,365,7,62,9,0,25,43,0,0,0,0,0,0,0,0,0
"179","Delta","20",4077,4000,3388,3972,4077,3796,3592,4077,77,689,105,0,281,485,0,0,0,0,0,0,0,0,0
"180","Delta","5_19",1078,891,755,884,903,846,801,907,187,323,194,175,232,277,171,0,0,0,0,0,0,0,0
"181","Denton","0_4",57654,54465,45817,56175,56238,51582,48699,57347,3189,11837,1479,1416,6072,8955,307,0,29,25,30,30,28,26,31
