CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_0_low,Cum_Hosp_0_high,Cum_Hosp_1,Cum_Hosp_1_low,Cum_Hosp_1_high,Cum_Hosp_2,Cum_Hosp_2_low,Cum_Hosp_2_high
Ochiltree,746,2497,6461,90.61472502230392,79.90938473837807,99.15401391054259,33.78569916836601,29.798216566005415,36.90941812995172,49.780099069637345,43.8861391821875,54.51930667930457,6.988983879478241,6.1430062529375755,7.8674145778023945,17.365579212438494,15.376906948263972,19.358244727837814,9.695022915979335,8.56463771303287,10.782968282613991,6.514165780048931,5.7033143996826325,7.229677125698071,1.1739254290171393,1.0334790709811434,1.3538368135599075
Oldham,82,330,1371,14.170323986661455,12.5372954706665,15.424588196988154,4.117286927313655,3.618234350856478,4.504494177167609,6.986502564177163,6.159962964995642,7.626692193920361,3.061576709133597,2.6327294523712608,3.3656911816516204,2.712743614910572,2.3448839647085147,2.997025831305226,1.1930704974211386,1.0318034975492056,1.3069014533499457,0.9970639871056874,0.8749775176030594,1.1191720359816133,0.519865826440963,0.43106482521927014,0.578098287671
Orange,5556,18267,61899,580.8573703362761,509.4776482894546,643.0017507602748,209.9062789698759,184.8723963281957,233.39119107310685,295.25141257616247,259.76502903629705,323.78216362115677,75.456625161457,65.58392094400156,85.36176681079398,109.86062567024594,97.05941637940772,124.09742759649114,59.57520283856228,52.762162333308645,67.4267988089528,37.702621200484735,33.3190976202704,42.027589336533865,12.41505271961284,10.829189096055401,14.381209157878175
Palo Pinto,1780,5761,22206,202.25023519555538,175.5130508574639,223.39558629114234,74.8130790941545,64.9105673862669,82.97273091572806,101.2523706694517,88.62419959376895,111.7948809825821,26.20761450235426,22.523201456902477,29.178128818664337,39.040524583131884,33.63793099327784,43.57353152985563,21.486948567547138,18.51963886177156,23.954361470580256,13.12999069001466,11.54180386326488,14.700325399322418,4.384224376229813,3.7261743293945,5.0241243406463
Panola,1329,4554,16955,169.15137862966293,148.62964506590117,188.9577559177259,59.77480674924331,52.11064047306279,66.94609962129451,88.98757965359708,79.48633550476903,98.97828510624856,20.218231655081976,17.29654203262625,23.004509592523718,32.183420947043956,27.9385745009922,36.47172765778317,17.106969988417767,14.87288714638022,19.59623842610172,11.580896389599491,10.113517778103947,13.099950899593402,3.3795841999202754,2.854005360826143,3.945801431769333
Parker,10164,36164,127166,1134.0441827584696,1003.0442044417231,1270.7137846008984,376.99675536656196,329.7763245128573,423.41420179402695,596.8306549972715,529.1992530848746,665.6738934493821,162.15896042300488,139.4100071131113,187.93673888742515,208.48429739774843,182.52603632534593,237.8166901355629,106.1057529715008,93.00868325745714,119.98561491916476,75.67059848240692,66.03939419895242,85.63646448186697,26.302402315171737,22.546702888713984,31.293207313426823
Parmer,697,2260,6660,77.39203720458147,69.72790745499428,85.04023358072693,30.05917298294828,27.006092730023457,32.912597775183265,40.81062648322468,36.73451725022405,44.690281399385135,6.6543867024085905,5.836464783077756,7.469306533512859,15.169805637728492,13.508445287057903,16.67549148138495,8.624178192974394,7.676783995348143,9.57038998079254,5.3764296367282585,4.826798749492654,5.9133303770637715,1.1215434435689495,0.9633741274868185,1.2736314661341874
Pecos,920,3079,10624,111.6664996621798,99.45741890276965,122.19940294513167,40.538712918746015,36.1440851745327,44.46144506099836,57.34375800940713,51.06864091384473,62.61941790609885,13.812997515611318,12.14297889867319,15.289816913720852,21.504180419411767,18.949686798862874,23.705164985907384,11.721157257572132,10.22423086002738,12.956790256459769,7.462642580277615,6.477381403548715,8.341366475243458,2.3127538033237105,1.9776926158217045,2.588508560189025
Polk,2734,9360,42092,250.6585724448123,224.24289643525617,281.45601397301107,92.62195447732287,82.24532773815562,104.19939821400722,129.08807077045776,115.20562654658434,143.87621817054045,28.97878379950955,25.145421851193348,33.236543331441084,47.51641643916,41.749126422919375,53.85062835000694,26.318337081122348,23.058114376683474,29.740118962875023,16.555530907390683,14.607017975424018,18.715229661597874,4.765931440081157,4.109443981981627,5.499131183333092
Potter,7874,25596,81177,662.6690081744315,586.4583799982357,746.9763905187932,250.88275170795555,220.13582738124083,284.846196828057,358.1327993162124,318.54135684147155,401.6749620581802,54.54579522784807,47.135969795311716,63.47588457981132,124.69553836692418,107.70981992142517,142.57524230381875,70.60693153274471,60.10044133594747,81.25631571177125,45.2907205014031,39.33355534454375,51.53232495563647,8.86653845509121,7.430838460118445,10.62317330538038
